Arup





File 221109 HPC_Full model v7-4 - v40 for Roof-v1.gwb
Exported 10/02/2023 14:29:48

GSA 10.1.63.64 64-bit Copyright © Oasys 1985-2022

Beam and Spring Forces and Moments
The force in an element at any point is the force required to maintain
equilibrium if the element is cut at that point and the end 2 part of the
element is discarded.  Thus:     +ve axial forces are tensile
Forces and moments are output in element axis directions
i.e. Fx: axial force;  Fy & Fz: shear forces;  Mxx: torsion;  Myy & Mzz: moments
Element axes for springs are as defined by the spring property axis no.
For Response Spectrum analysis cases only results calculated in the analysis are available and these are only available in the axes in which they were calculated.
e.g. element displacements are only available in global directions; 2D element stresses are only available in local directions; principal stresses are not reported.
For Response Spectrum analysis cases only the sum of Total Reactions are reported.
All components are enveloped.  Components are not coexistent.
Member list:  7416 7502 7526 7527 7528 7530 7531 7534 to 7537 7539 7540 7543 to 7553 7568 to 7576 7578 to 7604 7791 7794 7795 8022 8023 8024 8037 to 8043 8276 to 8279 9172 9239 9241 to 9251 9264 9265 9266 9281 9292 9293 9342 to 9345 9516 to 9525 9533 to 9543 9545 to 9557 9572 to 9575 9848 10035 to 10039 10041 to 10045 10052 to 10059 10066 10107 to 10118 10196 10197 10198 10201 to 10204 10296 10299 10323 10324 10329 10330 10851 to 10854 10875 10876 10877 10880 10885 11049 11050 11051 11082 to 11090 11115 to 11118 11124 11125 11130 11131 11136 to 11144 11480 11481 11509 to 11514 11537 11538 11539 11576 11577 11581 11582 11970 11971 11979 11980 49145 49146 49173 49174 49193 49196 49220 49223
Case list:  C94 : ENV
Refer to Combination Case and Envelope Details for details of enveloping permutations.

START_TABLE Beam and Spring Forces and Moments
,,,,,[kN],,[kN],,[kN],,[kNm],,[kNm],,[kNm],,[kN],,[kNm],
Memb,Case,Node,Pos,Env,Fx,Fx Perm,Fy,Fy Perm,Fz,Fz Perm,Mxx,Mxx Perm,Myy,Myy Perm,Mzz,Mzz Perm,|Fyz|,|Fyz| Perm,|Myz|,|Myz| Perm
7502,C94,,46.4%,Max,42.27,P2,0.7208,P2,2.003,P66,3.254,P66,-84.03,P66,1.456,P4,81.08,P21,351.6,P25
7502,C94,,46.4%,Min,-66.19,P3,-0.7698,P3,-81.08,P21,-4.611,P57,-351.6,P25,-1.171,P5,1.467,P67,84.03,P66
7502,C94,,50.0%,Max,42.27,P2,0.7208,P2,5.675,P66,3.254,P66,-82.54,P66,1.338,P4,76.12,P21,375.0,P25
7502,C94,,50.0%,Min,-66.19,P3,-0.7698,P3,-76.12,P21,-4.611,P57,-375.0,P25,-1.034,P5,0.3381,P90,82.54,P66
7502,C94,,53.6%,Max,42.27,P2,0.7208,P2,9.347,P66,3.254,P66,-79.61,P66,1.221,P4,71.17,P21,396.5,P25
7502,C94,,53.6%,Min,-66.19,P3,-0.7698,P3,-71.17,P21,-4.611,P57,-396.5,P25,-0.8976,P5,0.3794,P82,79.61,P66
7502,C94,,57.1%,Max,42.27,P2,0.7208,P2,13.02,P66,3.254,P66,-75.25,P66,1.103,P4,66.21,P21,416.0,P25
7502,C94,,57.1%,Min,-66.19,P3,-0.7698,P3,-66.21,P21,-4.611,P57,-416.0,P25,-0.7610,P5,0.4056,P88,75.25,P66
7502,C94,,57.1%,Max,27.59,P2,0.6037,P2,29.43,P66,-1.873,P4,-73.41,P66,1.376,P2,44.79,P57,418.4,P25
7502,C94,,57.1%,Min,-55.71,P3,-0.7444,P3,-44.79,P57,-8.194,P21,-418.4,P25,-1.180,P3,0.01103,P8,73.41,P66
7502,C94,,60.7%,Max,27.59,P2,0.6037,P2,33.10,P66,-1.873,P4,-61.22,P66,1.281,P2,41.12,P57,422.7,P25
7502,C94,,60.7%,Min,-55.71,P3,-0.7444,P3,-41.12,P57,-8.194,P21,-422.7,P25,-1.030,P3,0.8622,P59,61.22,P66
7502,C94,,64.3%,Max,27.59,P2,0.6037,P2,36.77,P66,-1.873,P4,-47.59,P66,1.200,P4,37.44,P57,425.4,P33
7502,C94,,64.3%,Min,-55.71,P3,-0.7444,P3,-37.44,P57,-8.194,P21,-425.4,P33,-0.8943,P5,0.3228,P23,47.59,P66
7502,C94,,67.9%,Max,27.59,P2,0.6037,P2,40.44,P66,-1.873,P4,-32.54,P66,1.155,P4,40.44,P66,432.1,P21
7502,C94,,67.9%,Min,-55.71,P3,-0.7444,P3,-33.77,P57,-8.194,P21,-432.1,P21,-0.7938,P5,0.8278,P65,32.54,P66
7502,C94,,71.4%,Max,27.59,P2,0.6037,P2,44.11,P66,-1.873,P4,-16.05,P66,1.109,P4,44.11,P66,439.6,P21
7502,C94,,71.4%,Min,-55.71,P3,-0.7444,P3,-30.10,P57,-8.194,P21,-439.6,P21,-0.6932,P5,0.5659,P5,16.05,P66
7502,C94,,71.4%,Max,15.13,P2,1.222,P79,73.32,P18,-1.186,P53,-9.912,P66,1.927,P4,73.32,P18,436.3,P21
7502,C94,,71.4%,Min,-48.49,P21,-0.9314,P92,-23.37,P57,-12.74,P18,-436.3,P21,-1.245,P83,2.024,P71,9.918,P66
7502,C94,,75.0%,Max,15.13,P2,1.222,P79,78.28,P18,-1.186,P53,14.65,P66,1.546,P4,78.28,P18,432.4,P21
7502,C94,,75.0%,Min,-48.49,P21,-0.9314,P92,-19.70,P57,-12.74,P18,-432.4,P21,-1.054,P5,0.4607,P49,12.56,P67
7502,C94,,78.6%,Max,15.13,P2,1.222,P79,83.23,P18,-1.186,P53,40.65,P66,1.164,P4,83.24,P18,426.6,P21
7502,C94,,78.6%,Min,-48.49,P21,-0.9314,P92,-16.02,P57,-12.74,P18,-426.6,P21,-0.8673,P5,1.645,P77,1.883,P42
7502,C94,,82.1%,Max,15.13,P2,1.222,P79,88.19,P18,-1.186,P53,68.08,P66,0.7830,P4,88.19,P18,418.9,P21
7502,C94,,82.1%,Min,-48.49,P21,-0.9314,P92,-12.35,P57,-12.74,P18,-418.9,P21,-0.6810,P5,2.843,P44,1.462,P62
7502,C94,,85.7%,Max,15.13,P2,1.222,P79,93.15,P18,-1.186,P53,96.95,P66,0.4177,P2,93.15,P18,409.2,P21
7502,C94,,85.7%,Min,-48.49,P21,-0.9314,P92,-8.681,P57,-12.74,P18,-409.2,P21,-0.5107,P3,0.7134,P45,0.6820,P82
7502,C94,,85.7%,Max,38.26,P55,36.98,P7,124.7,P18,3.954,P57,107.2,P66,14.28,P7,125.6,P18,398.9,P21
7502,C94,,85.7%,Min,-67.95,P68,-26.90,P83,-5.400,P57,-19.37,P18,-398.9,P21,-10.53,P83,8.014,P45,10.53,P55
7502,C94,,89.3%,Max,38.26,P55,36.98,P7,129.7,P18,3.954,P57,144.7,P66,13.45,P4,130.5,P18,379.5,P21
7502,C94,,89.3%,Min,-67.95,P68,-26.90,P83,-1.729,P57,-19.37,P18,-379.5,P21,-13.60,P5,9.336,P56,1.344,P18
7502,C94,,92.9%,Max,38.26,P55,36.98,P7,134.6,P18,3.954,P57,183.6,P66,14.65,P4,135.4,P18,358.2,P21
7502,C94,,92.9%,Min,-67.95,P68,-26.90,P83,1.943,P57,-19.37,P18,-358.2,P21,-20.78,P5,9.469,P56,13.95,P36
7502,C94,,96.4%,Max,38.26,P55,36.98,P7,139.6,P18,3.954,P57,223.9,P66,20.94,P83,140.4,P18,342.1,P57
7502,C94,,96.4%,Min,-67.95,P68,-26.90,P83,5.615,P57,-19.37,P18,-342.0,P57,-28.99,P7,10.91,P56,13.42,P46
7502,C94,4808,100.0%,Max,38.26,P55,36.98,P7,144.5,P18,3.954,P57,265.6,P66,31.43,P83,145.3,P18,339.3,P57
7502,C94,4808,100.0%,Min,-67.95,P68,-26.90,P83,9.286,P57,-19.37,P18,-339.1,P57,-43.42,P7,13.25,P56,10.34,P12
7526,C94,5222,0.0%,Max,26.99,P4,9.274,P2,-50.42,P46,-1.837,P2,10.85,P2,7.524,P2,115.5,P33,13.20,P2
7526,C94,5222,0.0%,Min,-41.03,P5,-7.525,P3,-115.5,P33,-5.263,P6,-5.801,P3,-6.104,P3,50.43,P46,0.1796,P35
7526,C94,,6.2%,Max,26.99,P4,9.274,P2,-48.40,P46,-1.837,P2,-9.603,P2,6.809,P2,112.8,P33,38.63,P22
7526,C94,,6.2%,Min,-41.03,P5,-7.525,P3,-112.8,P33,-5.263,P6,-38.63,P22,-6.014,P3,48.41,P46,11.77,P2
7526,C94,,12.5%,Max,26.99,P4,9.274,P2,-46.38,P46,-1.837,P2,-29.33,P2,6.094,P2,110.1,P33,78.35,P22
7526,C94,,12.5%,Min,-41.03,P5,-7.525,P3,-110.1,P33,-5.263,P6,-78.35,P22,-5.925,P3,46.39,P46,29.91,P69
7526,C94,,18.7%,Max,26.99,P4,9.274,P2,-44.36,P46,-1.837,P2,-46.43,P69,5.379,P2,107.4,P33,117.1,P22
7526,C94,,18.7%,Min,-41.03,P5,-7.525,P3,-107.4,P33,-5.263,P6,-117.1,P22,-5.836,P3,44.37,P46,46.44,P69
7526,C94,,25.0%,Max,26.99,P4,9.274,P2,-42.34,P46,-1.837,P2,-62.24,P69,4.664,P2,104.6,P33,154.9,P22
7526,C94,,25.0%,Min,-41.03,P5,-7.525,P3,-104.6,P33,-5.263,P6,-154.9,P22,-5.746,P3,42.36,P46,62.25,P69
7526,C94,,25.0%,Max,24.39,P4,5.591,P2,-44.39,P46,13.49,P32,-65.37,P69,4.147,P2,109.4,P33,162.8,P22
7526,C94,,25.0%,Min,-36.87,P5,-4.405,P3,-109.4,P33,5.059,P79,-162.8,P22,-3.272,P3,44.40,P46,65.38,P69
7526,C94,,31.2%,Max,24.39,P4,5.591,P2,-42.37,P46,13.49,P32,-81.50,P69,3.868,P2,106.6,P33,201.1,P22
7526,C94,,31.2%,Min,-36.87,P5,-4.405,P3,-106.6,P33,5.059,P79,-201.1,P22,-3.417,P3,42.38,P46,81.50,P69
7526,C94,,37.5%,Max,24.39,P4,5.591,P2,-40.35,P46,13.49,P32,-96.91,P69,3.589,P2,103.9,P33,238.5,P22
7526,C94,,37.5%,Min,-36.87,P5,-4.405,P3,-103.9,P33,5.059,P79,-238.5,P22,-3.562,P3,40.36,P46,96.91,P69
7526,C94,,43.7%,Max,24.39,P4,5.591,P2,-38.33,P46,13.49,P32,-111.6,P69,3.310,P2,101.2,P33,274.9,P22
7526,C94,,43.7%,Min,-36.87,P5,-4.405,P3,-101.2,P33,5.059,P79,-274.9,P22,-3.708,P3,38.34,P46,111.6,P69
7526,C94,,50.0%,Max,24.39,P4,5.591,P2,-36.31,P46,13.49,P32,-125.6,P69,3.031,P2,98.46,P33,310.3,P22
7526,C94,,50.0%,Min,-36.87,P5,-4.405,P3,-98.46,P33,5.059,P79,-310.3,P22,-3.853,P3,36.32,P46,125.6,P69
7526,C94,,50.0%,Max,19.03,P4,4.074,P2,56.44,P22,-1.188,P69,-118.0,P69,2.649,P2,56.44,P22,290.8,P22
7526,C94,,50.0%,Min,-32.66,P5,-2.977,P3,20.13,P69,-3.393,P26,-290.8,P22,-1.915,P3,20.15,P69,118.0,P69
7526,C94,,56.2%,Max,19.03,P4,4.074,P2,59.17,P22,-1.188,P69,-110.5,P69,2.573,P2,59.17,P22,270.1,P22
7526,C94,,56.2%,Min,-32.66,P5,-2.977,P3,22.15,P69,-3.393,P26,-270.1,P22,-2.232,P3,22.17,P69,110.5,P69
7526,C94,,62.5%,Max,19.03,P4,4.074,P2,61.90,P22,-1.188,P69,-102.1,P57,2.497,P2,61.90,P22,248.5,P30
7526,C94,,62.5%,Min,-32.66,P5,-2.977,P3,24.17,P69,-3.393,P26,-248.5,P30,-2.549,P3,24.19,P69,102.1,P57
7526,C94,,68.7%,Max,19.03,P4,4.074,P2,64.62,P22,-1.188,P69,-93.01,P57,2.422,P2,64.63,P22,226.0,P30
7526,C94,,68.7%,Min,-32.66,P5,-2.977,P3,26.19,P69,-3.393,P26,-226.0,P30,-2.865,P3,26.21,P69,93.01,P57
7526,C94,,75.0%,Max,19.03,P4,4.074,P2,67.35,P22,-1.188,P69,-83.16,P57,2.346,P2,67.35,P22,202.4,P30
7526,C94,,75.0%,Min,-32.66,P5,-2.977,P3,28.21,P69,-3.393,P26,-202.4,P30,-3.182,P3,28.23,P69,83.16,P57
7526,C94,,75.0%,Max,15.70,P2,4.816,P2,118.5,P22,-1.748,P69,-78.38,P57,2.689,P2,118.5,P22,191.1,P30
7526,C94,,75.0%,Min,-29.54,P3,-3.475,P3,47.28,P69,-4.894,P22,-191.1,P30,-1.914,P3,47.29,P69,78.38,P57
7526,C94,,81.3%,Max,15.70,P2,4.816,P2,121.2,P22,-1.748,P69,-61.00,P57,2.781,P2,121.3,P22,148.2,P30
