Arup





File 221109 HPC_Full model v7-4 - v40 for Roof-v1.gwb
Exported 10/02/2023 14:29:48

GSA 10.1.63.64 64-bit Copyright © Oasys 1985-2022

Beam and Spring Forces and Moments
The force in an element at any point is the force required to maintain
equilibrium if the element is cut at that point and the end 2 part of the
element is discarded.  Thus:     +ve axial forces are tensile
Forces and moments are output in element axis directions
i.e. Fx: axial force;  Fy & Fz: shear forces;  Mxx: torsion;  Myy & Mzz: moments
Element axes for springs are as defined by the spring property axis no.
For Response Spectrum analysis cases only results calculated in the analysis are available and these are only available in the axes in which they were calculated.
e.g. element displacements are only available in global directions; 2D element stresses are only available in local directions; principal stresses are not reported.
For Response Spectrum analysis cases only the sum of Total Reactions are reported.
All components are enveloped.  Components are not coexistent.
Member list:  7416 7502 7526 7527 7528 7530 7531 7534 to 7537 7539 7540 7543 to 7553 7568 to 7576 7578 to 7604 7791 7794 7795 8022 8023 8024 8037 to 8043 8276 to 8279 9172 9239 9241 to 9251 9264 9265 9266 9281 9292 9293 9342 to 9345 9516 to 9525 9533 to 9543 9545 to 9557 9572 to 9575 9848 10035 to 10039 10041 to 10045 10052 to 10059 10066 10107 to 10118 10196 10197 10198 10201 to 10204 10296 10299 10323 10324 10329 10330 10851 to 10854 10875 10876 10877 10880 10885 11049 11050 11051 11082 to 11090 11115 to 11118 11124 11125 11130 11131 11136 to 11144 11480 11481 11509 to 11514 11537 11538 11539 11576 11577 11581 11582 11970 11971 11979 11980 49145 49146 49173 49174 49193 49196 49220 49223
Case list:  C94 : ENV
Refer to Combination Case and Envelope Details for details of enveloping permutations.

START_TABLE Beam and Spring Forces and Moments
,,,,,[kN],,[kN],,[kN],,[kNm],,[kNm],,[kNm],,[kN],,[kNm],
Memb,Case,Node,Pos,Env,Fx,Fx Perm,Fy,Fy Perm,Fz,Fz Perm,Mxx,Mxx Perm,Myy,Myy Perm,Mzz,Mzz Perm,|Fyz|,|Fyz| Perm,|Myz|,|Myz| Perm
10108,C94,,97.9%,Max,417.1,P2,27.71,P2,1350.,P8,165.7,P8,3057.,P8,45.45,P2,1350.,P8,3057.,P8
10108,C94,,97.9%,Min,-495.8,P3,-43.84,P3,553.2,P79,42.39,P79,1306.,P78,-27.33,P3,553.6,P79,1306.,P78
10108,C94,4790,100.0%,Max,417.1,P2,27.71,P2,1363.,P8,165.7,P8,3611.,P8,53.50,P2,1363.,P8,3611.,P8
10108,C94,4790,100.0%,Min,-495.8,P3,-43.84,P3,562.9,P79,42.39,P79,1534.,P78,-28.79,P3,563.2,P79,1534.,P78
10109,C94,7664,0.0%,Max,55.95,P2,0.7089,P4,-23.78,P2,-0.7051,P67,99.08,P8,0.6672,P2,52.76,P8,99.08,P8
10109,C94,7664,0.0%,Min,-47.59,P3,-0.2866,P5,-52.76,P8,-1.926,P23,40.92,P3,-0.4492,P3,23.79,P2,40.92,P3
10109,C94,,25.0%,Max,55.95,P2,0.7089,P4,-21.83,P2,-0.7051,P67,75.35,P8,0.5161,P2,50.12,P8,75.36,P8
10109,C94,,25.0%,Min,-47.59,P3,-0.2866,P5,-50.12,P8,-1.926,P23,30.40,P3,-0.4929,P3,21.84,P2,30.40,P3
10109,C94,,50.0%,Max,55.95,P2,0.7089,P4,-19.88,P2,-0.7051,P67,52.84,P8,0.3855,P4,47.48,P8,52.84,P8
10109,C94,,50.0%,Min,-47.59,P3,-0.2866,P5,-47.48,P8,-1.926,P23,20.78,P3,-0.5570,P5,19.89,P2,20.78,P3
10109,C94,,75.0%,Max,55.95,P2,0.7089,P4,-17.92,P2,-0.7051,P67,31.57,P30,0.2646,P4,44.84,P8,31.57,P30
10109,C94,,75.0%,Min,-47.59,P3,-0.2866,P5,-44.84,P8,-1.926,P23,12.05,P3,-0.6309,P5,17.93,P2,12.07,P3
10109,C94,7665,100.0%,Max,55.95,P2,0.7089,P4,-15.97,P2,-0.7051,P67,11.53,P31,0.1437,P4,42.21,P8,11.54,P31
10109,C94,7665,100.0%,Min,-47.59,P3,-0.2866,P5,-42.20,P8,-1.926,P23,4.236,P3,-0.7048,P5,15.98,P2,4.281,P3
10110,C94,6073,0.0%,Max,45.88,P78,15.10,P2,8.520,P83,5.849,P8,-620.8,P79,14.51,P2,17.24,P2,1393.,P8
10110,C94,6073,0.0%,Min,-56.53,P9,-14.39,P3,-14.89,P6,2.105,P5,-1393.,P8,-13.71,P3,2.257,P43,620.8,P79
10110,C94,,5.0%,Max,45.88,P78,15.10,P2,11.70,P83,5.849,P8,-621.6,P79,12.32,P2,18.98,P2,1395.,P8
10110,C94,,5.0%,Min,-56.53,P9,-14.39,P3,-10.61,P6,2.105,P5,-1395.,P8,-11.76,P3,3.959,P20,621.7,P79
10110,C94,,10.0%,Max,45.88,P78,15.10,P2,14.87,P83,5.849,P8,-620.0,P4,10.13,P2,21.06,P2,1396.,P8
10110,C94,,10.0%,Min,-56.53,P9,-14.39,P3,-6.320,P6,2.105,P5,-1396.,P8,-9.809,P3,1.174,P20,620.1,P4
10110,C94,,15.0%,Max,45.88,P78,15.10,P2,18.05,P83,5.849,P8,-617.2,P4,7.943,P2,23.38,P2,1395.,P8
10110,C94,,15.0%,Min,-56.53,P9,-14.39,P3,-2.034,P6,2.105,P5,-1395.,P8,-7.858,P3,1.540,P1,617.2,P4
10110,C94,,20.0%,Max,45.88,P78,15.10,P2,21.22,P83,5.849,P8,-613.3,P4,5.755,P2,25.89,P2,1392.,P8
10110,C94,,20.0%,Min,-56.53,P9,-14.39,P3,2.253,P6,2.105,P5,-1392.,P8,-5.907,P3,4.649,P31,613.3,P4
10110,C94,,20.0%,Max,50.81,P79,5.302,P2,86.73,P8,0.2328,P2,-611.3,P4,4.525,P2,86.73,P8,1389.,P8
10110,C94,,20.0%,Min,-59.97,P9,-4.918,P3,37.71,P3,-0.7876,P3,-1389.,P8,-3.938,P3,37.94,P79,611.4,P4
10110,C94,,25.0%,Max,50.81,P79,5.302,P2,91.02,P8,0.2328,P2,-597.7,P4,4.088,P2,91.02,P8,1359.,P8
10110,C94,,25.0%,Min,-59.97,P9,-4.918,P3,40.89,P3,-0.7876,P3,-1359.,P8,-3.632,P3,41.11,P79,597.7,P4
10110,C94,,30.0%,Max,50.81,P79,5.302,P2,95.30,P8,0.2328,P2,-583.1,P4,3.652,P2,95.31,P8,1328.,P8
10110,C94,,30.0%,Min,-59.97,P9,-4.918,P3,44.06,P3,-0.7876,P3,-1328.,P8,-3.325,P3,44.28,P79,583.1,P4
10110,C94,,35.0%,Max,50.81,P79,5.302,P2,99.59,P8,0.2328,P2,-567.3,P4,3.216,P2,99.59,P8,1295.,P8
10110,C94,,35.0%,Min,-59.97,P9,-4.918,P3,47.24,P3,-0.7876,P3,-1295.,P8,-3.018,P3,47.45,P79,567.3,P4
10110,C94,,40.0%,Max,50.81,P79,5.302,P2,103.9,P8,0.2328,P2,-550.5,P4,2.780,P2,103.9,P8,1261.,P8
10110,C94,,40.0%,Min,-59.97,P9,-4.918,P3,50.42,P3,-0.7876,P3,-1261.,P8,-2.711,P3,50.62,P79,550.5,P4
10110,C94,,40.0%,Max,56.85,P79,3.698,P2,211.3,P8,10.08,P8,-545.6,P4,2.820,P2,211.3,P8,1250.,P8
10110,C94,,40.0%,Min,-72.46,P3,-3.278,P3,89.82,P5,3.481,P3,-1250.,P8,-1.837,P3,89.86,P5,545.6,P4
10110,C94,,45.0%,Max,56.85,P79,3.698,P2,215.6,P8,10.08,P8,-514.7,P4,2.775,P2,215.6,P8,1178.,P8
10110,C94,,45.0%,Min,-72.46,P3,-3.278,P3,93.00,P5,3.481,P3,-1178.,P8,-1.934,P3,93.03,P5,514.7,P4
10110,C94,,50.0%,Max,56.85,P79,3.698,P2,219.9,P8,10.08,P8,-482.8,P4,2.731,P2,219.9,P8,1104.,P8
10110,C94,,50.0%,Min,-72.46,P3,-3.278,P3,96.17,P5,3.481,P3,-1104.,P8,-2.030,P3,96.20,P5,482.8,P4
10110,C94,,55.0%,Max,56.85,P79,3.698,P2,224.2,P8,10.08,P8,-449.8,P4,2.686,P2,224.2,P8,1030.,P8
10110,C94,,55.0%,Min,-72.46,P3,-3.278,P3,99.35,P5,3.481,P3,-1030.,P8,-2.127,P3,99.38,P5,449.8,P4
10110,C94,,60.0%,Max,56.85,P79,3.698,P2,228.5,P8,10.08,P8,-415.7,P4,2.641,P2,228.5,P8,953.2,P8
10110,C94,,60.0%,Min,-72.46,P3,-3.278,P3,102.5,P5,3.481,P3,-953.2,P8,-2.224,P3,102.6,P5,415.7,P4
10110,C94,,60.0%,Max,73.08,P2,4.288,P2,337.7,P8,2.008,P2,-410.9,P4,2.634,P2,337.7,P8,942.6,P8
10110,C94,,60.0%,Min,-85.58,P3,-2.688,P3,145.0,P79,-0.09896,P3,-942.6,P8,-0.9204,P3,145.1,P79,410.9,P4
10110,C94,,65.0%,Max,73.08,P2,4.288,P2,342.0,P8,2.008,P2,-361.1,P4,2.662,P2,342.0,P8,827.9,P8
10110,C94,,65.0%,Min,-85.58,P3,-2.688,P3,148.2,P79,-0.09896,P3,-827.9,P8,-1.488,P3,148.2,P79,361.1,P4
10110,C94,,70.0%,Max,73.08,P2,4.288,P2,346.3,P8,2.008,P2,-310.3,P4,2.689,P2,346.3,P8,711.9,P8
10110,C94,,70.0%,Min,-85.58,P3,-2.688,P3,151.4,P79,-0.09896,P3,-711.9,P8,-2.055,P3,151.4,P79,310.3,P4
10110,C94,,75.0%,Max,73.08,P2,4.288,P2,350.6,P8,2.008,P2,-258.4,P4,2.717,P2,350.6,P8,594.3,P8
10110,C94,,75.0%,Min,-85.58,P3,-2.688,P3,154.6,P79,-0.09896,P3,-594.3,P8,-2.622,P3,154.6,P79,258.4,P4
10110,C94,,80.0%,Max,73.08,P2,4.288,P2,354.9,P8,2.008,P2,-205.4,P4,2.745,P2,354.9,P8,475.4,P8
10110,C94,,80.0%,Min,-85.58,P3,-2.688,P3,157.7,P79,-0.09896,P3,-475.4,P8,-3.189,P3,157.8,P79,205.4,P4
10110,C94,,80.0%,Max,85.06,P2,9.632,P2,391.5,P8,-2.398,P2,-191.9,P4,3.765,P2,391.6,P8,444.7,P8
10110,C94,,80.0%,Min,-86.82,P3,-3.812,P3,170.1,P79,-7.635,P6,-444.7,P8,-0.4455,P3,170.2,P79,191.9,P4
10110,C94,,85.0%,Max,85.06,P2,9.632,P2,395.8,P8,-2.398,P2,-131.6,P4,4.013,P2,395.9,P8,311.9,P8
10110,C94,,85.0%,Min,-86.82,P3,-3.812,P3,173.3,P79,-7.635,P6,-311.9,P8,-2.656,P3,173.4,P79,131.6,P4
10110,C94,,90.0%,Max,85.06,P2,9.632,P2,400.1,P8,-2.398,P2,-70.23,P4,4.261,P2,400.1,P8,177.7,P8
10110,C94,,90.0%,Min,-86.82,P3,-3.812,P3,176.5,P79,-7.635,P6,-177.7,P8,-4.868,P3,176.6,P79,70.30,P4
10110,C94,,95.0%,Max,85.06,P2,9.632,P2,404.4,P8,-2.398,P2,-6.504,P2,4.509,P2,404.4,P8,43.60,P3
10110,C94,,95.0%,Min,-86.82,P3,-3.812,P3,179.7,P79,-7.635,P6,-43.02,P3,-7.079,P3,179.7,P79,7.915,P2
10110,C94,7664,100.0%,Max,85.06,P2,9.632,P2,408.7,P8,-2.398,P2,95.15,P33,4.758,P2,408.7,P8,95.23,P33
10110,C94,7664,100.0%,Min,-86.82,P3,-3.812,P3,182.8,P79,-7.635,P6,38.19,P3,-9.290,P3,182.9,P79,39.30,P3
10111,C94,7660,0.0%,Max,14.19,P2,6.554,P2,-20.18,P76,5.492,P23,70.24,P8,5.518,P2,44.11,P8,70.24,P8
10111,C94,7660,0.0%,Min,-22.13,P3,-4.331,P3,-44.10,P8,2.104,P88,29.97,P76,-3.929,P3,20.37,P48,30.08,P76
10111,C94,,25.0%,Max,14.19,P2,6.554,P2,-18.49,P76,5.492,P23,53.07,P8,4.893,P2,41.83,P8,53.07,P8
10111,C94,,25.0%,Min,-22.13,P3,-4.331,P3,-41.82,P8,2.104,P88,22.24,P76,-4.193,P3,18.69,P48,22.28,P76
10111,C94,,50.0%,Max,14.19,P2,6.554,P2,-16.80,P76,5.492,P23,36.81,P8,4.269,P2,39.54,P8,36.82,P8
10111,C94,,50.0%,Min,-22.13,P3,-4.331,P3,-39.53,P8,2.104,P88,15.19,P76,-4.457,P3,17.01,P48,15.19,P76
10111,C94,,75.0%,Max,14.19,P2,6.554,P2,-15.10,P76,5.492,P23,21.47,P8,3.644,P2,37.25,P8,21.48,P8
10111,C94,,75.0%,Min,-22.13,P3,-4.331,P3,-37.25,P8,2.104,P88,8.802,P79,-4.721,P3,15.33,P48,8.910,P54
10111,C94,7661,100.0%,Max,14.19,P2,6.554,P2,-13.41,P76,5.492,P23,7.052,P24,3.020,P2,34.97,P8,7.544,P6
10111,C94,7661,100.0%,Min,-22.13,P3,-4.331,P3,-34.96,P8,2.104,P88,3.028,P55,-4.985,P3,13.65,P40,3.076,P68
10112,C94,6078,0.0%,Max,50.34,P55,19.25,P2,38.45,P7,-13.72,P79,-383.4,P85,19.32,P2,40.32,P7,968.3,P6
10112,C94,6078,0.0%,Min,-89.09,P5,-14.15,P3,4.546,P5,-33.48,P8,-968.2,P6,-14.70,P3,9.951,P5,383.4,P84
10112,C94,,6.3%,Max,50.34,P55,19.25,P2,43.28,P7,-13.72,P79,-378.8,P85,16.19,P2,44.95,P7,953.5,P6
10112,C94,,6.3%,Min,-89.09,P5,-14.15,P3,8.121,P5,-33.48,P8,-953.5,P6,-13.51,P3,12.01,P5,378.8,P85
10112,C94,,12.5%,Max,50.34,P55,19.25,P2,48.10,P7,-13.72,P79,-372.8,P85,13.07,P2,49.61,P7,936.9,P6
10112,C94,,12.5%,Min,-89.09,P5,-14.15,P3,11.70,P5,-33.48,P8,-936.9,P6,-12.33,P3,14.67,P5,372.8,P85
10112,C94,,18.8%,Max,50.34,P55,19.25,P2,52.93,P7,-13.72,P79,-365.5,P85,9.945,P2,54.30,P7,918.5,P6
10112,C94,,18.8%,Min,-89.09,P5,-14.15,P3,15.27,P5,-33.48,P8,-918.5,P6,-11.14,P3,17.65,P5,365.5,P85
10112,C94,,25.0%,Max,50.34,P55,19.25,P2,57.75,P7,-13.72,P79,-356.8,P85,6.820,P2,59.02,P7,898.3,P6
10112,C94,,25.0%,Min,-89.09,P5,-14.15,P3,18.84,P5,-33.48,P8,-898.3,P6,-9.953,P3,20.82,P5,356.8,P85
10112,C94,,25.0%,Max,59.91,P55,7.132,P2,98.29,P6,-8.359,P79,-354.7,P85,6.168,P2,98.33,P6,891.5,P6
10112,C94,,25.0%,Min,-111.5,P5,-6.156,P3,33.35,P5,-19.37,P8,-891.5,P6,-6.231,P3,33.58,P5,354.7,P85
10112,C94,,31.3%,Max,59.91,P55,7.132,P2,103.1,P6,-8.359,P79,-340.6,P85,5.420,P2,103.2,P6,853.3,P6
10112,C94,,31.3%,Min,-111.5,P5,-6.156,P3,36.92,P5,-19.37,P8,-853.3,P6,-5.853,P3,37.13,P5,340.6,P85
10112,C94,,37.5%,Max,59.91,P55,7.132,P2,107.9,P6,-8.359,P79,-325.1,P85,4.672,P2,108.0,P6,813.2,P6
10112,C94,,37.5%,Min,-111.5,P5,-6.156,P3,40.50,P5,-19.37,P8,-813.2,P6,-5.476,P3,40.69,P5,325.1,P85
10112,C94,,43.8%,Max,59.91,P55,7.132,P2,112.8,P6,-8.359,P79,-308.3,P85,3.925,P2,112.8,P6,771.3,P6
10112,C94,,43.8%,Min,-111.5,P5,-6.156,P3,44.07,P5,-19.37,P8,-771.3,P6,-5.098,P3,44.25,P5,308.3,P85
10112,C94,,50.0%,Max,59.91,P55,7.132,P2,117.6,P6,-8.359,P79,-290.2,P85,3.177,P2,117.6,P6,727.6,P6
10112,C94,,50.0%,Min,-111.5,P5,-6.156,P3,47.65,P5,-19.37,P8,-727.6,P6,-4.721,P3,47.81,P5,290.2,P85
10112,C94,,50.0%,Max,62.68,P55,6.331,P2,283.9,P6,-23.08,P55,-285.1,P85,4.766,P2,283.9,P6,713.9,P6
10112,C94,,50.0%,Min,-116.8,P5,-8.192,P3,119.8,P84,-57.16,P8,-713.9,P6,-7.579,P3,119.9,P84,285.1,P85
10112,C94,,56.2%,Max,62.68,P55,6.331,P2,288.7,P6,-23.08,P55,-238.9,P85,4.861,P2,288.7,P6,605.2,P6
10112,C94,,56.2%,Min,-116.8,P5,-8.192,P3,123.4,P84,-57.16,P8,-605.2,P6,-6.967,P3,123.4,P84,238.9,P85
10112,C94,,62.5%,Max,62.68,P55,6.331,P2,293.5,P6,-23.08,P55,-191.4,P85,4.956,P2,293.5,P6,494.7,P6
10112,C94,,62.5%,Min,-116.8,P5,-8.192,P3,126.9,P84,-57.16,P8,-494.7,P6,-6.356,P3,127.0,P84,191.4,P85
10112,C94,,68.7%,Max,62.68,P55,6.331,P2,298.3,P6,-23.08,P55,-142.5,P85,5.051,P2,298.3,P6,382.3,P6
10112,C94,,68.7%,Min,-116.8,P5,-8.192,P3,130.5,P84,-57.16,P8,-382.3,P6,-5.744,P3,130.6,P84,142.5,P85
10112,C94,,75.0%,Max,62.68,P55,6.331,P2,303.2,P6,-23.08,P55,-92.21,P85,5.146,P2,303.2,P6,268.1,P6
10112,C94,,75.0%,Min,-116.8,P5,-8.192,P3,134.1,P84,-57.16,P8,-268.1,P6,-5.132,P3,134.2,P84,92.22,P85
10112,C94,,75.0%,Max,56.20,P4,14.54,P2,289.6,P6,-11.24,P55,-81.40,P85,8.172,P2,289.6,P6,242.1,P6
10112,C94,,75.0%,Min,-90.90,P5,-22.08,P3,116.8,P85,-27.56,P8,-242.1,P6,-12.55,P3,117.5,P85,81.74,P85
10112,C94,,81.2%,Max,56.20,P4,14.54,P2,294.4,P6,-11.24,P55,-36.36,P85,11.38,P2,294.4,P6,131.3,P6
10112,C94,,81.2%,Min,-90.90,P5,-22.08,P3,120.4,P85,-27.56,P8,-131.3,P6,-12.90,P3,121.1,P85,36.45,P85
10112,C94,,87.5%,Max,56.20,P4,14.54,P2,299.2,P6,-11.24,P55,18.85,P2,14.60,P2,299.2,P6,33.23,P3
10112,C94,,87.5%,Min,-90.90,P5,-22.08,P3,124.0,P85,-27.56,P8,-30.47,P3,-13.25,P3,124.6,P85,1.537,P62
10112,C94,,93.7%,Max,56.20,P4,14.54,P2,304.1,P6,-11.24,P55,110.0,P8,17.81,P2,304.1,P6,110.2,P8
10112,C94,,93.7%,Min,-90.90,P5,-22.08,P3,127.6,P85,-27.56,P8,31.37,P79,-13.60,P3,128.2,P85,31.87,P79
10112,C94,7660,100.0%,Max,56.20,P4,14.54,P2,308.9,P6,-11.24,P55,221.6,P8,21.02,P2,308.9,P6,221.8,P8
10112,C94,7660,100.0%,Min,-90.90,P5,-22.08,P3,131.1,P85,-27.56,P8,90.04,P79,-13.96,P3,131.8,P85,90.53,P79
10113,C94,7662,0.0%,Max,41.67,P2,8.773,P2,-41.13,P55,21.04,P8,88.11,P8,6.250,P2,99.02,P8,88.12,P8
10113,C94,7662,0.0%,Min,-18.48,P3,-11.05,P3,-99.02,P8,7.714,P55,36.11,P55,-8.764,P3,41.91,P55,36.63,P55
10113,C94,,25.0%,Max,41.67,P2,8.773,P2,-39.78,P55,21.04,P8,56.76,P8,6.098,P2,97.19,P8,56.76,P8
10113,C94,,25.0%,Min,-18.48,P3,-11.05,P3,-97.19,P8,7.714,P55,23.18,P55,-7.884,P3,40.58,P55,23.45,P55
10113,C94,,50.0%,Max,41.67,P2,8.773,P2,-38.42,P55,21.04,P8,25.99,P8,5.946,P2,95.36,P8,25.99,P8
10113,C94,,50.0%,Min,-18.48,P3,-11.05,P3,-95.36,P8,7.714,P55,8.849,P3,-7.004,P3,39.26,P55,10.73,P55
10113,C94,,75.0%,Max,41.67,P2,8.773,P2,-37.07,P55,21.04,P8,1.638,P2,5.794,P2,93.54,P8,8.944,P3
10113,C94,,75.0%,Min,-18.48,P3,-11.05,P3,-93.53,P8,7.714,P55,-6.517,P3,-6.125,P3,37.93,P55,1.790,P79
10113,C94,7663,100.0%,Max,41.67,P2,8.773,P2,-35.72,P55,21.04,P8,-13.02,P55,5.653,P4,91.71,P8,33.80,P8
10113,C94,7663,100.0%,Min,-18.48,P3,-11.05,P3,-91.71,P8,7.714,P55,-33.80,P8,-5.257,P5,36.61,P55,13.63,P79
10114,C94,6079,0.0%,Max,78.60,P7,12.36,P2,3.642,P85,1.454,P57,-524.3,P4,12.90,P2,26.92,P6,1172.,P8
10114,C94,6079,0.0%,Min,-52.57,P93,-8.666,P3,-26.10,P6,-0.7426,P3,-1172.,P8,-9.566,P3,0.7476,P59,524.4,P4
10114,C94,,5.0%,Max,78.60,P7,12.36,P2,7.002,P85,1.454,P57,-526.5,P4,10.43,P2,22.55,P6,1178.,P8
10114,C94,,5.0%,Min,-52.57,P93,-8.666,P3,-21.56,P6,-0.7426,P3,-1178.,P8,-8.415,P3,0.7981,P66,526.6,P4
10114,C94,,10.0%,Max,78.60,P7,12.36,P2,10.36,P85,1.454,P57,-527.5,P4,7.958,P2,18.26,P6,1182.,P8
10114,C94,,10.0%,Min,-52.57,P93,-8.666,P3,-17.03,P6,-0.7426,P3,-1182.,P8,-7.265,P3,2.584,P43,527.5,P4
10114,C94,,15.0%,Max,78.60,P7,12.36,P2,13.72,P85,1.454,P57,-527.3,P4,5.489,P2,17.64,P2,1185.,P8
10114,C94,,15.0%,Min,-52.57,P93,-8.666,P3,-12.49,P6,-0.7426,P3,-1185.,P8,-6.114,P3,3.173,P9,527.3,P4
10114,C94,,20.0%,Max,78.60,P7,12.36,P2,17.08,P85,1.454,P57,-525.9,P4,3.020,P2,20.18,P2,1185.,P8
10114,C94,,20.0%,Min,-52.57,P93,-8.666,P3,-7.955,P6,-0.7426,P3,-1185.,P8,-4.963,P3,0.2369,P8,525.9,P4
10114,C94,,20.0%,Max,98.30,P7,4.872,P2,61.78,P8,18.30,P8,-524.7,P4,5.046,P2,61.78,P8,1183.,P8
10114,C94,,20.0%,Min,-53.80,P93,-3.854,P3,23.22,P3,7.419,P3,-1183.,P8,-4.192,P3,23.54,P3,524.7,P4
10114,C94,,25.0%,Max,98.30,P7,4.872,P2,66.31,P8,18.30,P8,-515.1,P4,4.166,P2,66.32,P8,1160.,P8
10114,C94,,25.0%,Min,-53.80,P93,-3.854,P3,26.58,P3,7.419,P3,-1160.,P8,-3.675,P3,26.86,P3,515.1,P4
10114,C94,,30.0%,Max,98.30,P7,4.872,P2,70.85,P8,18.30,P8,-504.4,P4,3.286,P2,70.85,P8,1136.,P8
10114,C94,,30.0%,Min,-53.80,P93,-3.854,P3,29.94,P3,7.419,P3,-1136.,P8,-3.158,P3,30.19,P3,504.4,P4
10114,C94,,35.0%,Max,98.30,P7,4.872,P2,75.39,P8,18.30,P8,-492.5,P4,2.406,P2,75.39,P8,1110.,P8
10114,C94,,35.0%,Min,-53.80,P93,-3.854,P3,33.30,P3,7.419,P3,-1110.,P8,-2.641,P3,33.53,P3,492.5,P4
10114,C94,,40.0%,Max,98.30,P7,4.872,P2,79.92,P8,18.30,P8,-479.4,P4,1.525,P2,79.92,P8,1082.,P8
10114,C94,,40.0%,Min,-53.80,P93,-3.854,P3,36.66,P3,7.419,P3,-1082.,P8,-2.125,P3,36.87,P3,479.4,P4
10114,C94,,40.0%,Max,142.7,P2,5.640,P2,194.4,P8,6.328,P33,-473.9,P4,4.700,P2,194.4,P8,1069.,P8
10114,C94,,40.0%,Min,-89.96,P3,-4.671,P3,80.66,P5,1.894,P3,-1069.,P8,-3.403,P3,80.71,P5,473.9,P4
10114,C94,,45.0%,Max,142.7,P2,5.640,P2,198.9,P8,6.328,P33,-444.1,P4,4.343,P2,198.9,P8,999.3,P8
10114,C94,,45.0%,Min,-89.96,P3,-4.671,P3,84.02,P5,1.894,P3,-999.3,P8,-3.392,P3,84.07,P5,444.2,P4
10114,C94,,50.0%,Max,142.7,P2,5.640,P2,203.5,P8,6.328,P33,-413.2,P4,3.986,P2,203.5,P8,927.5,P8
10114,C94,,50.0%,Min,-89.96,P3,-4.671,P3,87.38,P5,1.894,P3,-927.5,P8,-3.380,P3,87.43,P5,413.2,P4
10114,C94,,55.0%,Max,142.7,P2,5.640,P2,208.0,P8,6.328,P33,-381.1,P4,3.629,P2,208.0,P8,854.1,P8
10114,C94,,55.0%,Min,-89.96,P3,-4.671,P3,90.74,P5,1.894,P3,-854.1,P8,-3.369,P3,90.79,P5,381.1,P4
10114,C94,,60.0%,Max,142.7,P2,5.640,P2,212.5,P8,6.328,P33,-347.7,P4,3.272,P2,212.5,P8,779.2,P31
10114,C94,,60.0%,Min,-89.96,P3,-4.671,P3,94.10,P5,1.894,P3,-779.2,P31,-3.357,P3,94.14,P5,347.7,P4
10114,C94,,60.0%,Max,207.4,P2,2.142,P2,401.2,P8,-8.684,P55,-355.2,P4,4.288,P4,401.2,P8,795.1,P8
10114,C94,,60.0%,Min,-145.8,P3,-6.075,P21,168.4,P55,-22.80,P8,-795.1,P8,-2.139,P57,168.4,P55,355.2,P4
10114,C94,,65.0%,Max,207.4,P2,2.142,P2,405.7,P8,-8.684,P55,-289.2,P4,4.575,P4,405.7,P8,653.7,P31
10114,C94,,65.0%,Min,-145.8,P3,-6.075,P21,171.8,P55,-22.80,P8,-653.7,P31,-0.5154,P57,171.8,P55,289.2,P4
10114,C94,,70.0%,Max,207.4,P2,2.142,P2,410.3,P8,-8.684,P55,-221.9,P4,5.031,P2,410.3,P8,511.8,P31
10114,C94,,70.0%,Min,-145.8,P3,-6.075,P21,175.1,P55,-22.80,P8,-511.7,P31,-0.1167,P3,175.1,P55,222.0,P4
10114,C94,,75.0%,Max,207.4,P2,2.142,P2,414.8,P8,-8.684,P55,-153.5,P4,5.688,P33,414.8,P8,368.2,P31
10114,C94,,75.0%,Min,-145.8,P3,-6.075,P21,178.5,P55,-22.80,P8,-368.2,P31,0.1957,P3,178.5,P55,153.6,P4
10114,C94,,80.0%,Max,207.4,P2,2.142,P2,419.3,P8,-8.684,P55,-83.82,P4,7.624,P21,419.3,P8,223.1,P31
10114,C94,,80.0%,Min,-145.8,P3,-6.075,P21,181.8,P55,-22.80,P8,-223.0,P31,0.5081,P3,181.8,P55,84.00,P4
10114,C94,,80.0%,Max,176.7,P2,20.38,P2,304.6,P33,65.99,P8,-85.09,P4,16.48,P2,304.7,P33,220.8,P31
10114,C94,,80.0%,Min,-142.6,P3,-6.837,P3,133.8,P72,25.40,P55,-220.7,P31,-4.854,P3,133.8,P72,86.41,P4
10114,C94,,85.0%,Max,176.7,P2,20.38,P2,309.1,P33,65.99,P8,-28.06,P4,13.90,P2,309.2,P33,111.4,P31
10114,C94,,85.0%,Min,-142.6,P3,-6.837,P3,137.1,P72,25.40,P55,-111.3,P31,-7.104,P3,137.1,P72,30.73,P4
10114,C94,,90.0%,Max,176.7,P2,20.38,P2,313.7,P33,65.99,P8,30.17,P4,11.32,P2,313.8,P33,31.78,P4
10114,C94,,90.0%,Min,-142.6,P3,-6.837,P3,140.5,P72,25.40,P55,-21.06,P5,-9.353,P3,140.5,P72,0.4226,P38
10114,C94,,95.0%,Max,176.7,P2,20.38,P2,318.2,P33,65.99,P8,124.6,P8,8.730,P2,318.3,P33,124.6,P8
10114,C94,,95.0%,Min,-142.6,P3,-6.837,P3,143.9,P72,25.40,P55,38.26,P55,-11.60,P3,143.9,P72,38.26,P55
10114,C94,7662,100.0%,Max,176.7,P2,20.38,P2,322.8,P33,65.99,P8,238.8,P8,6.146,P2,322.9,P33,238.9,P8
10114,C94,7662,100.0%,Min,-142.6,P3,-6.837,P3,147.2,P72,25.40,P55,91.27,P55,-13.85,P3,147.2,P72,91.27,P55
